"FrogId a pedido
[Pedido]",FACTURA,"Cliente
[Cliente]","Fecha de liquidación
[Liquidación]","Descripción
Fabricante",PREVENTA,REPARTO,"Denominación comercial
[Cliente]","Producto
[Pedido det.]","Descripción
Canal","Descripción
Marca","Descripción
Catalogo presentaciones",CAJAS,"Unidad
[Pedido det.]","Multiplica
[Múltiplo producto]", IMPORTE BRUTO S/IMP , TOTAL S/IMP ,"Factor conversión 1
[Producto]","Factor conversión 3
[Producto]",HLT,"Descripción
[Producto]",PLAZA,CANAL,CLASIF,CF,SABOR,Compañía,AÑO
COS FRPED_CLIENTE/COSP-108663,,1287,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,HV NANCY,31,PUNTO DE VENTA,PEÑAFIEL ADAS,2 LITROS,1,UCJ,1, $205.17 , $205.17 ,0.16,2,0.16,A. PIÑADA 2 L PET,COSAMALOAPAN,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108670,,1114,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,PAPELERIA PATY-LU,119,PUNTO DE VENTA,AGUA FIEL,500 ML,1,UCJ,1, $124.00 , $124.00 ,0.12,0.5,0.12,AGUA FIEL 500 ML PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108675,,1377,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,ISABEL ACEVEDO ORTIZ,80,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,600 ML,1,CJ12,12, $167.24 , $167.24 ,0.072,0.6,0.072,AGUA MINERAL 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108677,,90066696,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABTS ANGIE,21700,PUNTO DE VENTA,RC COLA,237 ML,1,CJ12,12, $61.64 , $61.64 ,0.0284,0.237,0.02844,RC COLA 237 ML NVO,COSAMALOAPAN,DETALLE,CF,1.001408451,COLA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108692,,90066115,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,HV PANCHO,21700,PUNTO DE VENTA,RC COLA,237 ML,1,CJ12,12, $61.64 , $61.64 ,0.0284,0.237,0.02844,RC COLA 237 ML NVO,COSAMALOAPAN,DETALLE,CF,1.001408451,COLA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108693,,1368,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES CRISTY,21700,PUNTO DE VENTA,RC COLA,237 ML,1,CJ12,12, $61.64 , $61.64 ,0.0284,0.237,0.02844,RC COLA 237 ML NVO,COSAMALOAPAN,DETALLE,CF,1.001408451,COLA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108700,,90062541,15/07/2026,LABORATORIOS PISA S.A. DE C.V,1051,1002,ABARROTES MARY,6511,PUNTO DE VENTA,ELECTROLIT,625 ML,1,UCJ,1, $294.00 , $241.00 ,0.075,0.625,0.075,SURTIDO ELECTROLIT 625 ML,COSAMALOAPAN,DETALLE,CF,1,SURTIDO,ELECTROLIT,2026
COS FRPED_CLIENTE/COSP-108744,,1185,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,ANTOJITOS ZAHORY,600,PUNTO DE VENTA,PEÑAFIEL SABORES,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,PET SURTIDO 600 ML,COSAMALOAPAN,DETALLE,CF,1,SURTIDO,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108745,,1113,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,ISOLDA MENUDEO ,21700,PUNTO DE VENTA,RC COLA,237 ML,12,UPZ,1, $61.64 , $61.64 ,0.0284,0.237,0.02844,RC COLA 237 ML NVO,COSAMALOAPAN,DETALLE,CF,1.001408451,COLA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108749,,90064150,15/07/2026,COMERCIALIADORA ELORO S.A.,1052,1001,ANTOJITOS LA FAMILIA,2362,CENTRO DE CONSUMO,ARIZONA,570 ML,1,CJ24,24, $421.00 , $421.00 ,0.1368,0.57,0.1368,ARIZONA KIWI FRESA 570 ML LATA,COSAMALOAPAN,DETALLE,CF,1,KIWI FRESA,JUMEX,2026
COS FRPED_CLIENTE/COSP-108751,,1062,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,RESTAURANT DOÑA MAGO,128,PUNTO DE VENTA,AGUA FIEL,1.5 LITROS,2,UCJ,1, $115.00 , $115.00 ,0.09,1.5,0.18,AGUA FIEL 1.5 L PET,COSAMALOAPAN,DETALLE,CF,2,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108751,,1062,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,RESTAURANT DOÑA MAGO,31,PUNTO DE VENTA,PEÑAFIEL ADAS,2 LITROS,1,UCJ,1, $205.17 , $205.17 ,0.16,2,0.16,A. PIÑADA 2 L PET,COSAMALOAPAN,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108763,,90062745,15/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,ANTOJITOS DOÑA ONE,115,CENTRO DE CONSUMO,SQUIRT,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,SQUIRT 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,TORONJA,PEÑAFIEL,2026
